lat,lng,name,location,mday,total,bikes,parks
25.03795,121.55466,Ren'ai Rd. & Yanji St. Intersection (Northwest),"No. 363, Sec. 4, Ren'ai Rd.",2024-06-23 08:47:20,18,3,15
25.02528,121.55224,"Ln. 101, Leli Rd.","No. 97, Leli Rd.",2024-06-23 08:51:20,13,5,6
25.02208,121.52678,Roosevelt Rd. & Pucheng St. Intersection,"No. 117, Sec. 3, Roosevelt Rd.",2024-06-23 08:49:20,15,7,8
25.03551,121.54951,"Ln. 295, Sec. 1, Dunhua S. Rd.","No. 1, Ln. 295, Sec. 1, Dunhua S. Rd.",2024-06-23 08:39:19,18,6,12
25.02942,121.55294,"Ln. 108, Tong'an St.","No. 129, Tong'an St. (Opposite)",2024-06-23 08:47:20,28,13,15
25.04061,121.54389,Zhongxiao E. Rd. & Fuxing S. Rd. Intersection (Southeast),"No. 191, Sec. 1, Fuxing S. Rd.",2024-06-23 08:45:22,28,1,27
25.03813,121.54631,Ren'ai Rd. & Da'an Rd. Intersection (Northeast),"No. 37, Sec. 4, Ren'ai Rd.",2024-06-23 08:48:20,21,2,19
25.02476,121.52803,National Taiwan Normal University (Pucheng St.),"No. 1, Pucheng St. (Opposite)",2024-06-23 08:49:20,15,6,9
25.03056,121.55252,"Ln. 69, Sec. 2, Anhe Rd.","Sec. 2, Anhe Rd. & Ln. 69, Sec. 2, Anhe Rd. Intersection",2024-06-23 08:48:20,20,5,15
25.02014,121.55084,DaAn Elementary School,"Aly. 11, Ln. 131, Wolong St. & Ln. 108, Leye St. Intersection",2024-06-23 08:49:20,25,3,22
25.02572,121.52359,MRT Guting Sta. (Exit 3),"No. 81-1, Sec. 2, Roosevelt Rd.",2024-06-23 08:50:25,15,0,15
25.04152,121.54414,MRT Zhongxiao Fuxing Sta. (Exit 3),"No. 48, Sec. 4, ZhongXiao E. Rd.",2024-06-23 08:51:20,37,4,33
25.02468,121.53965,"Ln. 90, Sec. 2, HePing E. Rd.","Ln. 90, Sec. 2, HePing E. Rd. & Aly. 5, Ln. 76, Sec. 2, HePing E. Rd. Intersection",2024-06-23 08:24:20,20,9,11
25.03601,121.55742,"Ln. 420, GuangFu S. Rd.","No. 438, GuangFu S. Rd.",2024-06-23 08:39:19,16,13,3
25.01870,121.55688,FuYang St. & WoLong St. Intersection,"No. 129, FuYang St.",2024-06-23 08:47:19,18,11,6
25.03817,121.54400,RenAi Rd. & FuXing Rd. Intersection,"No. 1, Sec. 4, RenAi Rd.",2024-06-23 08:49:20,25,3,22
